S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
505,Sri Lanka,Afghanistan,Afghanistan,6 wickets,Hambantota,02-06-2023,ODI # 4579
506,Sri Lanka,Afghanistan,Sri Lanka,132 runs,Hambantota,04-06-2023,ODI # 4580
507,U.A.E.,West Indies,West Indies,7 wickets,Sharjah,04-06-2023,ODI # 4581
508,U.A.E.,West Indies,West Indies,78 runs,Sharjah,06-06-2023,ODI # 4582
509,Sri Lanka,Afghanistan,Sri Lanka,9 wickets,Hambantota,07-06-2023,ODI # 4583
510,U.A.E.,West Indies,West Indies,4 wickets,Sharjah,09-06-2023,ODI # 4584
511,Zimbabwe,Nepal,Zimbabwe,8 wickets,Harare,18-06-2023,ODI # 4585
512,U.S.A.,West Indies,West Indies,39 runs,Harare,18-06-2023,ODI # 4586
513,Sri Lanka,U.A.E.,Sri Lanka,175 runs,Bulawayo,19-06-2023,ODI # 4587
514,Ireland,Oman,Oman,5 wickets,Bulawayo,19-06-2023,ODI # 4588
515,Zimbabwe,Netherlands,Zimbabwe,6 wickets,Harare,20-06-2023,ODI # 4589
516,Nepal,U.S.A.,Nepal,6 wickets,Harare,20-06-2023,ODI # 4590
517,Ireland,Scotland,Scotland,1 wicket,Bulawayo,21-06-2023,ODI # 4591
518,Oman,U.A.E.,Oman,5 wickets,Bulawayo,21-06-2023,ODI # 4592
519,Nepal,West Indies,West Indies,101 runs,Harare,22-06-2023,ODI # 4593
520,Netherlands,U.S.A.,Netherlands,5 wickets,Harare,22-06-2023,ODI # 4594
521,Oman,Sri Lanka,Sri Lanka,10 wickets,Bulawayo,23-06-2023,ODI # 4595
522,Scotland,U.A.E.,Scotland,111 runs,Bulawayo,23-06-2023,ODI # 4596
523,Zimbabwe,West Indies,Zimbabwe,35 runs,Harare,24-06-2023,ODI # 4597
524,Nepal,Netherlands,Netherlands,7 wickets,Harare,24-06-2023,ODI # 4598
525,Ireland,Sri Lanka,Sri Lanka,133 runs,Bulawayo,25-06-2023,ODI # 4599
526,Oman,Scotland,Scotland,76 runs,Bulawayo,25-06-2023,ODI # 4600
527,Zimbabwe,U.S.A.,Zimbabwe,304 runs,Harare,26-06-2023,ODI # 4601
528,Netherlands,West Indies,tied,-,Harare,26-06-2023,ODI # 4602
529,Scotland,Sri Lanka,Sri Lanka,82 runs,Bulawayo,27-06-2023,ODI # 4603
530,Ireland,U.A.E.,Ireland,138 runs,Bulawayo,27-06-2023,ODI # 4604
531,Zimbabwe,Oman,Zimbabwe,14 runs,Bulawayo,29-06-2023,ODI # 4605
532,Netherlands,Sri Lanka,Sri Lanka,21 runs,Bulawayo,30-06-2023,ODI # 4606
533,Ireland,U.S.A.,Ireland,6 wickets,Harare,30-06-2023,ODI # 4607
534,Scotland,West Indies,Scotland,7 wickets,Harare,01-07-2023,ODI # 4608
535,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,02-07-2023,ODI # 4609
536,Nepal,U.A.E.,Nepal,3 wickets,Harare,02-07-2023,ODI # 4610
537,Netherlands,Oman,Netherlands,74 runs,Harare,03-07-2023,ODI # 4611
538,Zimbabwe,Scotland,Scotland,31 runs,Bulawayo,04-07-2023,ODI # 4612
539,Ireland,Nepal,Ireland,2 wickets,Harare,04-07-2023,ODI # 4613
540,Oman,West Indies,West Indies,7 wickets,Harare,05-07-2023,ODI # 4614
541,Bangladesh,Afghanistan,Afghanistan,17 runs,Chattogram,05-07-2023,ODI # 4615
542,Netherlands,Scotland,Netherlands,4 wickets,Bulawayo,06-07-2023,ODI # 4616
543,U.A.E.,U.S.A.,U.A.E.,1 run,Harare,06-07-2023,ODI # 4617
544,Sri Lanka,West Indies,Sri Lanka,8 wickets,Harare,07-07-2023,ODI # 4618
545,Bangladesh,Afghanistan,Afghanistan,142 runs,Chattogram,08-07-2023,ODI # 4619
546,Netherlands,Sri Lanka,Sri Lanka,128 runs,Harare,09-07-2023,ODI # 4620
547,Bangladesh,Afghanistan,Bangladesh,7 wickets,Chattogram,11-07-2023,ODI # 4621
548,West Indies,India,India,5 wickets,Bridgetown,27-07-2023,ODI # 4622
549,West Indies,India,West Indies,6 wickets,Bridgetown,29-07-2023,ODI # 4623
550,West Indies,India,India,200 runs,Tarouba,01-08-2023,ODI # 4624
551,New Zealand,Pakistan,New Zealand,61 runs,Wellington,06-01-2018,ODI # 3946
552,New Zealand,Pakistan,New Zealand,8 wickets,Nelson,09-01-2018,ODI # 3947
553,U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,11-01-2018,ODI # 3948
554,New Zealand,Pakistan,New Zealand,183 runs,Dunedin,13-01-2018,ODI # 3949
555,U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,13-01-2018,ODI # 3950
556,Australia,England,England,5 wickets,Melbourne,14-01-2018,ODI # 3951
557,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,15-01-2018,ODI # 3952
558,New Zealand,Pakistan,New Zealand,5 wickets,Hamilton,16-01-2018,ODI # 3953
559,Ireland,Scotland,Ireland,6 wickets,ICCA Dubai,16-01-2018,ODI # 3954
560,Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur,17-01-2018,ODI # 3955
561,Ireland,Scotland,Ireland,24 runs,ICCA Dubai,18-01-2018,ODI # 3956
562,New Zealand,Pakistan,New Zealand,15 runs,Wellington,19-01-2018,ODI # 3957
563,Australia,England,England,4 wickets,Brisbane,19-01-2018,ODI # 3958
564,Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur,19-01-2018,ODI # 3959
565,Australia,England,England,16 runs,Sydney,21-01-2018,ODI # 3960
566,U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai,21-01-2018,ODI # 3961
567,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur,21-01-2018,ODI # 3962
568,U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai,23-01-2018,ODI # 3963
569,Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur,23-01-2018,ODI # 3964
570,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur,25-01-2018,ODI # 3965
571,Australia,England,Australia,3 wickets,Adelaide,26-01-2018,ODI # 3966
572,Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur,27-01-2018,ODI # 3967
573,Australia,England,England,12 runs,Perth,28-01-2018,ODI # 3968
574,South Africa,India,India,6 wickets,Durban,01-02-2018,ODI # 3969
575,South Africa,India,India,9 wickets,Centurion,04-02-2018,ODI # 3970
576,South Africa,India,India,124 runs,Cape Town,07-02-2018,ODI # 3971
577,Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah,09-02-2018,ODI # 3972
578,South Africa,India,South Africa,5 wickets,Johannesburg,10-02-2018,ODI # 3973
579,Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah,11-02-2018,ODI # 3974
580,Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah,13-02-2018,ODI # 3975
581,South Africa,India,India,73 runs,Gqeberha,13-02-2018,ODI # 3976
582,Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah,16-02-2018,ODI # 3977
583,South Africa,India,India,8 wickets,Centurion,16-02-2018,ODI # 3978
584,Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah,19-02-2018,ODI # 3979
585,New Zealand,England,New Zealand,3 wickets,Hamilton,25-02-2018,ODI # 3980
586,New Zealand,England,England,6 wickets,Mount Maunganui,28-02-2018,ODI # 3981
587,New Zealand,England,England,4 runs,Wellington,03-03-2018,ODI # 3982
588,Afghanistan,Scotland,Scotland,7 wickets,Bulawayo,04-03-2018,ODI # 3983
589,P.N.G.,U.A.E.,U.A.E.,56 runs,Harare,04-03-2018,ODI # 3984
590,Hong Kong,Scotland,Scotland,4 wickets,Bulawayo,06-03-2018,ODI # 3985
591,Ireland,P.N.G.,Ireland,4 wickets,Harare,06-03-2018,ODI # 3986
592,U.A.E.,West Indies,West Indies,60 runs,Harare,06-03-2018,ODI # 3987
593,Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo,06-03-2018,ODI # 3988
594,New Zealand,England,New Zealand,5 wickets,Dunedin,07-03-2018,ODI # 3989
595,Afghanistan,Hong Kong,Hong Kong,30 runs,Bulawayo,08-03-2018,ODI # 3990
596,P.N.G.,West Indies,West Indies,6 wickets,Harare,08-03-2018,ODI # 3991
597,New Zealand,England,England,7 wickets,Christchurch,10-03-2018,ODI # 3992
598,Ireland,West Indies,West Indies,52 runs,Harare,10-03-2018,ODI # 3993
599,Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo,10-03-2018,ODI # 3994
600,Ireland,U.A.E.,Ireland,226 runs,Harare,12-03-2018,ODI # 3995
601,Zimbabwe,Scotland,tied,-,Bulawayo,12-03-2018,ODI # 3996
602,Afghanistan,West Indies,Afghanistan,3 wickets,Harare,15-03-2018,ODI # 3997
603,Scotland,U.A.E.,Scotland,73 runs,Bulawayo,15-03-2018,ODI # 3998
604,Zimbabwe,Ireland,Zimbabwe,107 runs,Harare,16-03-2018,ODI # 3999
605,Hong Kong,P.N.G.,P.N.G.,58 runs,Harare,17-03-2018,ODI # 4000
606,Ireland,Scotland,Ireland,25 runs,Harare,18-03-2018,ODI # 4001
607,Zimbabwe,West Indies,West Indies,4 wickets,Harare,19-03-2018,ODI # 4002
608,Afghanistan,U.A.E.,Afghanistan,5 wickets,Harare,20-03-2018,ODI # 4003
609,Scotland,West Indies,West Indies,5 runs,Harare,21-03-2018,ODI # 4004
610,Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare,22-03-2018,ODI # 4005
611,Afghanistan,Ireland,Afghanistan,5 wickets,Harare,23-03-2018,ODI # 4006
612,Afghanistan,West Indies,Afghanistan,7 wickets,Harare,25-03-2018,ODI # 4007
613,Scotland,England,Scotland,6 runs,Edinburgh,10-06-2018,ODI # 4008
614,England,Australia,England,3 wickets,The Oval,13-06-2018,ODI # 4009
