S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
1005,Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS),24-08-2016,ODI # 3769
1006,England,Pakistan,England,44 runs,Southampton,24-08-2016,ODI # 3770
1007,England,Pakistan,England,4 wickets,Lord's,27-08-2016,ODI # 3771
1008,Sri Lanka,Australia,Australia,2 wickets,Dambulla,28-08-2016,ODI # 3772
1009,England,Pakistan,England,169 runs,Nottingham,30-08-2016,ODI # 3773
1010,Sri Lanka,Australia,Australia,6 wickets,Dambulla,31-08-2016,ODI # 3774
1011,England,Pakistan,England,4 wickets,Leeds,01-09-2016,ODI # 3775
1012,Sri Lanka,Australia,Australia,5 wickets,Pallekele,04-09-2016,ODI # 3776
1013,England,Pakistan,Pakistan,4 wickets,Cardiff,04-09-2016,ODI # 3777
1014,Scotland,Hong Kong,no result,-,Edinburgh,08-09-2016,ODI # 3778
1015,Scotland,Hong Kong,Scotland,53 runs,Edinburgh,10-09-2016,ODI # 3779
1016,South Africa,Ireland,South Africa,206 runs,Benoni,25-09-2016,ODI # 3780
1017,Bangladesh,Afghanistan,Bangladesh,7 runs,Mirpur,25-09-2016,ODI # 3781
1018,Australia,Ireland,Australia,9 wickets,Benoni,27-09-2016,ODI # 3782
1019,Bangladesh,Afghanistan,Afghanistan,2 wickets,Mirpur,28-09-2016,ODI # 3783
1020,Pakistan,West Indies,Pakistan,111 runs,Sharjah,30-09-2016,ODI # 3784
1021,South Africa,Australia,South Africa,6 wickets,Centurion,30-09-2016,ODI # 3785
1022,Bangladesh,Afghanistan,Bangladesh,141 runs,Mirpur,01-10-2016,ODI # 3786
1023,South Africa,Australia,South Africa,142 runs,Johannesburg,02-10-2016,ODI # 3787
1024,Pakistan,West Indies,Pakistan,59 runs,Sharjah,02-10-2016,ODI # 3788
1025,Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi,05-10-2016,ODI # 3789
1026,South Africa,Australia,South Africa,4 wickets,Durban,05-10-2016,ODI # 3790
1027,Bangladesh,England,England,21 runs,Mirpur,07-10-2016,ODI # 3791
1028,South Africa,Australia,South Africa,6 wickets,Gqeberha,09-10-2016,ODI # 3792
1029,Bangladesh,England,Bangladesh,34 runs,Mirpur,09-10-2016,ODI # 3793
1030,Bangladesh,England,England,4 wickets,Chattogram,12-10-2016,ODI # 3794
1031,South Africa,Australia,South Africa,31 runs,Cape Town,12-10-2016,ODI # 3795
1032,India,New Zealand,India,6 wickets,Dharamsala,16-10-2016,ODI # 3796
1033,India,New Zealand,New Zealand,6 runs,Delhi,20-10-2016,ODI # 3797
1034,India,New Zealand,India,7 wickets,Mohali,23-10-2016,ODI # 3798
1035,India,New Zealand,New Zealand,19 runs,Ranchi,26-10-2016,ODI # 3799
1036,India,New Zealand,India,190 runs,Visakhapatnam,29-10-2016,ODI # 3800
1037,Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok,04-11-2016,ODI # 3801
1038,Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok,06-11-2016,ODI # 3802
1039,Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok,08-11-2016,ODI # 3803
1040,Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,14-11-2016,ODI # 3804
1041,Sri Lanka,West Indies,West Indies,62 runs,Harare,16-11-2016,ODI # 3805
1042,Zimbabwe,West Indies,tied,-,Bulawayo,19-11-2016,ODI # 3806
1043,Zimbabwe,Sri Lanka,no result,-,Bulawayo,21-11-2016,ODI # 3807
1044,Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo,23-11-2016,ODI # 3808
1045,Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo,25-11-2016,ODI # 3809
1046,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo,27-11-2016,ODI # 3810
1047,Australia,New Zealand,Australia,68 runs,Sydney,04-12-2016,ODI # 3811
1048,Australia,New Zealand,Australia,116 runs,Canberra,06-12-2016,ODI # 3812
1049,Australia,New Zealand,Australia,117 runs,Melbourne,09-12-2016,ODI # 3813
1050,New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,26-12-2016,ODI # 3814
1051,New Zealand,Bangladesh,New Zealand,67 runs,Nelson,29-12-2016,ODI # 3815
1052,New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,31-12-2016,ODI # 3816
